"",""," ","","","","","","","","","","","","","","",""
"",""," ","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","Demonstrativo Mensal das Incidências Criminais 2015 - Roubo de Veículos","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","",""
"","Áreas   \   Períodos","","M         E          S          E          S","","","","","","","","","","","","TOTAL","",""
"","UOp","UNIDADES POLICIAIS","JAN ","FEV","MAR","ABR","MAI","JUN","JUL","AGO","SET","OUT","NOV","DEZ","","",""
"","32º BPM","121a. Casimiro de Abreu","3","1","7","3","5","1","0","1","0","0","0","0","21","",""
"","32º BPM","122a. Conceição de Macabú","1","0","1","2","0","0","0","1","0","0","0","0","5","",""
"","32º BPM","123a. Macaé ","30","19","27","30","20","16","16","13","0","0","0","0","171","",""
"","25º BPM","124a. Saquarema","4","1","0","4","2","1","2","3","0","0","0","0","17","",""
"","25º BPM","125a. São Pedro da Aldeia","1","2","5","1","1","4","0","3","0","0","0","0","17","",""
"","25º BPM","126a. Cabo Frio ","7","12","12","7","11","7","10","6","0","0","0","0","72","",""
"","25º BPM","127a. Búzios","3","5","1","0","0","3","0","2","0","0","0","0","14","",""
"","32º BPM","128a. Rio das Ostras","6","12","15","11","5","5","13","5","0","0","0","0","72","",""
"","25º BPM","129a. Iguaba ","2","1","3","2","0","1","1","0","0","0","0","0","10","",""
"","32º BPM","130a. Quissamã ","3","4","1","3","0","3","1","1","0","0","0","0","16","",""
"","25º BPM","132a. Arraial do Cabo","0","0","0","0","0","1","1","1","0","0","0","0","3","",""
"","8º BPM","134a. Campos","19","6","11","10","4","4","8","4","0","0","0","0","66","",""
"","36º BPM","135a. Itaocara","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","36º BPM","136a. Santo Antonio de Pádua","0","0","0","1","0","0","0","0","0","0","0","0","1","",""
"","36º BPM","137a. Miracema","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","29º BPM","138a. Lajes de Muriaré","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","29º BPM","139a. Porciúncula","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","29º BPM","140a. Natividade ","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","8º BPM","141a. São Fidelis","2","0","0","1","0","0","0","0","0","0","0","0","3","",""
"","36º BPM","142a. Cambucí","1","0","0","0","0","0","0","0","0","0","0","0","1","",""
"","29º BPM","143a. Itaperuna","0","0","0","1","0","0","0","0","0","0","0","0","1","",""
"","29º BPM","144a. Bom Jesus Itabapoana ","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","8º BPM","145a. São João da Barra","0","2","0","0","2","1","1","1","0","0","0","0","7","",""
"","8º BPM","146a. Guarus","8","2","8","5","3","3","1","4","0","0","0","0","34","",""
"","8º BPM","147a. São Francisco de Itabapoana","5","1","1","1","1","0","1","1","0","0","0","0","11","",""
"","29º BPM","148a. Italva ","1","0","0","0","0","0","0","2","0","0","0","0","3","",""
"","11º BPM","151a. Nova Friburgo","1","0","0","0","0","1","2","0","0","0","0","0","4","",""
"","11º BPM","152a. Duas Barras","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","11º BPM","153a. Cantagalo","0","0","0","0","2","1","1","1","0","0","0","0","5","",""
"","11º BPM","154a. Cordeiro","0","1","0","0","0","0","0","0","0","0","0","0","1","",""
"","36º BPM","155a. São Sebastião do Alto","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","11º BPM","156a. Santa Maria Madalena","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","11º BPM","157a. Trajano de Morais","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","11º BPM","158a. Bom Jardim","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","35º BPM","159a. Cachoeira de Macacú","0","0","0","1","0","0","0","0","0","0","0","0","1","",""
"","33º BPM","165a. Mangaratiba","1","9","2","2","2","1","1","2","0","0","0","0","20","",""
"","33º BPM","166a. Angra dos Reis","10","3","5","3","5","1","1","5","0","0","0","0","33","",""
"","33º BPM","167a. Paratí","0","0","2","0","1","0","0","0","0","0","0","0","3","",""
"","33º BPM","168a. Rio Claro ","0","0","0","0","0","0","0","0","0","0","0","0","0","",""
"","TOTAL MENSAL","","2874","2494","2861","2690","2451","2254","2429","2326","0","0","0","0","20379",""," "
"","","","","","","","","","","","","","","","","",""
"Fonte: DGTIT/PCERJ/SESEG","","","","","","","","","","","","","","","","",""
"Dados trabalhados pelos autores.","",""," "," "," "," "," "," "," ","","","","","","","",""
